year,region,type,demand_GWh
2023,Basilicata,Fonti rinnovabili,3922.043521307
2023,Basilicata,Saldo import/export,-1613.7417
2023,Calabria,Fonti tradizionali,9781.5731493
2023,Calabria,Saldo import/export,-7775.139
2023,Calabria,Fonti rinnovabili,3801.1662701
2023,Campania,Saldo import/export,7553.9546
2023,Campania,Fonti tradizionali,4698.650723323
2023,Campania,Fonti rinnovabili,5907.853570677
2023,Emilia-Romagna,Fonti tradizionali,18743.11858906
2023,Emilia-Romagna,Saldo import/export,6069.9478
2023,Emilia-Romagna,Fonti rinnovabili,5093.67048894
2023,Friuli-Venezia Giulia,Saldo import/export,2302.3765
2023,Friuli-Venezia Giulia,Fonti tradizionali,5064.927528966
2023,Friuli-Venezia Giulia,Fonti rinnovabili,1300.070347734
2023,Lazio,Fonti rinnovabili,2853.621356149
2023,Lazio,Saldo import/export,12320.873
2023,Lazio,Fonti tradizionali,6828.769943851
2023,Liguria,Fonti rinnovabili,472.072327153
2023,Liguria,Fonti tradizionali,1250.809542847
2023,Liguria,Saldo import/export,4430.406
2023,Lombardia,Fonti tradizionali,33077.494771417
2023,Lombardia,Saldo import/export,19993.648
2023,Lombardia,Fonti rinnovabili,6986.808057583
2023,Marche,Fonti tradizionali,439.918846164
2023,Marche,Saldo import/export,4625.032
2023,Marche,Fonti rinnovabili,1618.130605836
2023,Molise,Fonti rinnovabili,1094.56453502
2023,Molise,Saldo import/export,-550.31726
2023,Molise,Fonti tradizionali,753.77335498
2023,Piemonte,Fonti tradizionali,17118.477132943
2023,Piemonte,Fonti rinnovabili,3821.176282057
2023,Piemonte,Saldo import/export,-864.1109
2023,Puglia,Fonti tradizionali,17502.008242401
2023,Puglia,Fonti rinnovabili,12030.685057599
2023,Puglia,Saldo import/export,-10206.972
2023,Sardegna,Saldo import/export,-3508.3206
2023,Sardegna,Fonti rinnovabili,3894.584587593
2023,Sardegna,Fonti tradizionali,7952.384772407
2023,Sicilia,Saldo import/export,1443.4097
2023,Sicilia,Fonti rinnovabili,5833.448966754
2023,Sicilia,Fonti tradizionali,11545.573053246
2023,Toscana,Fonti rinnovabili,7101.095929889
2023,Toscana,Saldo import/export,4096.8745
2023,Toscana,Fonti tradizionali,7810.153790111
2023,Trentino-Alto Adige,Saldo import/export,-4177.6475
2023,Trentino-Alto Adige,Fonti tradizionali,1290.2404277
2023,Trentino-Alto Adige,Fonti rinnovabili,901.1911243
2023,Umbria,Saldo import/export,2321.757
2023,Umbria,Fonti rinnovabili,793.72299284
2023,Umbria,Fonti tradizionali,900.0230291600002
2023,Valle d'Aosta,Fonti tradizionali,54.027876200000456
2023,Valle d'Aosta,Fonti rinnovabili,48.0297388
2023,Valle d'Aosta,Saldo import/export,-2140.576
2023,Veneto,Fonti tradizionali,7910.956863266
2023,Veneto,Fonti rinnovabili,4441.424025834
2023,Veneto,Saldo import/export,15797.397
2024,Abruzzo,Fonti rinnovabili,1690.67615742
2024,Abruzzo,Fonti tradizionali,2659.06647958
2024,Abruzzo,Saldo import/export,1248.0818
2024,Basilicata,Saldo import/export,-1149.0571
2024,Basilicata,Fonti tradizionali,497.41595707
2024,Basilicata,Fonti rinnovabili,3647.63560293
2024,Calabria,Fonti tradizionali,9145.615092835
2024,Calabria,Saldo import/export,-6898.6367
2024,Calabria,Fonti rinnovabili,4154.812260165
2024,Campania,Fonti rinnovabili,5795.840265567
